Name,Type,Wavelength [nm],Alpha,P_f,B_f
BB,white,375,0.9999940391390134,32.95838093247518,302.5682304723172
BB,white,407,0.9999940391390134,109.76079301328743,1544.649184829251
BB,white,532,0.9673301299672992,379.1370552117013,4989.074124793698
BB,white,635,0.9193326470259681,622.331243814201,8035.322777815317
BB,white,850,0.8148300200553166,656.3204744390446,7971.1614553946665
