Name,Type,Wavelength [nm],Alpha,P_f,B_f
PT0,black,375,0.9999940391390134,2.992908913943932,150.9219045517371
PT0,black,407,0.9999940391390134,12.551871080072875,530.6287228794114
PT0,black,532,0.9303399564135416,79.05634812546124,2084.725682451244
PT0,black,635,0.8403541336167943,156.21691225116155,3184.533605488331
PT0,black,850,0.8619014847952804,224.95200638760446,3859.8645700160996
PT1,black,375,0.7187889961738987,2.315486549673822,140.6795630532873
PT1,black,407,0.9909370844681155,11.802480842795848,496.1975059850404
PT1,black,532,0.7898742111518845,73.69991358952454,1883.465902326289
PT1,black,635,0.8366362789825132,142.7100610758433,3083.9688494185966
PT1,black,850,0.8092067613675609,214.99791785651885,3709.6387829117257
PT2,black,375,0.9999940391390134,1.3622973814951382,143.0944337931209
PT2,black,407,0.5339362724306859,7.899269137034916,414.4528283562974
PT2,black,532,0.8788457320673042,56.13381027431339,1809.4473515607672
PT2,black,635,0.7521759943589212,116.77499647937147,2822.8306301086573
PT2,black,850,0.6809513708820877,179.98125597635644,3386.2724968228954
PT3,black,375,0.8167456866930388,2.4666851085605805,148.83548868470842
PT3,black,407,0.9999940391390134,11.313011272250476,532.5611164219144
PT3,black,532,0.7344522150611522,65.51208245958276,2046.9298394446505
PT3,black,635,0.7019614843320308,133.15418010305422,3191.538159477504
PT3,black,850,0.714179432211703,217.08065783069836,3882.679973086863
PT4,black,375,0.6847019731577368,7.605455343564846,234.7959390168569
PT4,black,407,0.571390160514853,30.000668963136633,771.2254273431889
PT4,black,532,0.6163731975522713,135.94177973458133,2872.8707091116153
PT4,black,635,0.49901082237753625,256.3136595128053,4371.024993011601
PT4,black,850,0.5533586211309471,328.77758448433923,5087.129510191584
